"Quarter","HB","HBQF","HBName","HBNameQF","ADPName","ADPNameQF","ServiceType","ServiceTypeQF","SubstanceType","SubstanceTypeQF","Measure","Waited_1_week_or_less","Waited_more_than_1_week_but_within_2_weeks","Waited_more_than_2_week_but_within_3_weeks","Waited_more_than_3_week_but_within_4_weeks","Waited_more_than_4_week_but_within_8_weeks","Waited_more_than_8_week_but_within_12_weeks","Waited_more_than_12_week_but_within_26_weeks","Waited_more_than_26_week_but_within_52_weeks","Waited_more_than_52_week","LDP_standard_waited_3_weeks_or_less","LDP_standard_waited_more_than_3_weeks","Median_length_of_wait_days"
"Q4 2023/2024","S08000015","","NHS Ayrshire & Arran","","East Ayrshire ADP","","Community-based service","","Alcohol","","Number",77,7,5,1,0,0,0,0,0,89,1,0
"Q4 2023/2024","S08000015","","NHS Ayrshire & Arran","","East Ayrshire ADP","","Prison-based service","","Alcohol","","Number",4,0,0,0,0,0,0,0,0,4,0,2.5
"Q1 2024/2025","S08000015","","NHS Ayrshire & Arran","","East Ayrshire ADP","","Community-based service","","Alcohol","","Number",78,8,3,0,1,0,0,0,0,89,1,0
"Q1 2024/2025","S08000015","","NHS Ayrshire & Arran","","East Ayrshire ADP","","Prison-based service","","Alcohol","","Number",3,0,0,0,0,0,0,0,0,3,0,2
"Q2 2024/2025","S08000015","","NHS Ayrshire & Arran","","East Ayrshire ADP","","Community-based service","","Alcohol","","Number",75,5,1,0,0,0,0,0,0,81,0,0
"Q2 2024/2025","S08000015","","NHS Ayrshire & Arran","","East Ayrshire ADP","","Prison-based service","","Alcohol","","Number",10,0,0,0,0,0,0,0,0,10,0,2
"Q3 2024/2025","S08000015","","NHS Ayrshire & Arran","","East Ayrshire ADP","","Community-based service","","Alcohol","","Number",64,5,4,0,0,0,0,0,0,73,0,0
"Q3 2024/2025","S08000015","","NHS Ayrshire & Arran","","East Ayrshire ADP","","Prison-based service","","Alcohol","","Number",7,1,0,0,0,0,0,0,0,8,0,5
"Q4 2024/2025","S08000015","","NHS Ayrshire & Arran","","East Ayrshire ADP","","Community-based service","","Alcohol","","Number",41,6,3,0,0,0,0,0,0,50,0,0
"Q4 2024/2025","S08000015","","NHS Ayrshire & Arran","","East Ayrshire ADP","","Prison-based service","","Alcohol","","Number",1,1,1,1,0,0,0,0,0,3,1,17
"Q4 2023/2024","S08000015","","NHS Ayrshire & Arran","","East Ayrshire ADP","","Community-based service","","All","d","Number",178,7,5,1,0,0,0,0,0,190,1,0
"Q4 2023/2024","S08000015","","NHS Ayrshire & Arran","","East Ayrshire ADP","","Prison-based service","","All","d","Number",40,0,2,1,1,1,0,0,0,42,3,2
"Q1 2024/2025","S08000015","","NHS Ayrshire & Arran","","East Ayrshire ADP","","Community-based service","","All","d","Number",166,9,3,0,1,0,0,0,0,178,1,0
"Q1 2024/2025","S08000015","","NHS Ayrshire & Arran","","East Ayrshire ADP","","Prison-based service","","All","d","Number",50,1,1,1,1,0,0,0,0,52,2,0
"Q2 2024/2025","S08000015","","NHS Ayrshire & Arran","","East Ayrshire ADP","","Community-based service","","All","d","Number",189,7,1,0,0,0,0,0,0,197,0,0
"Q2 2024/2025","S08000015","","NHS Ayrshire & Arran","","East Ayrshire ADP","","Prison-based service","","All","d","Number",47,0,0,0,0,1,0,0,0,47,1,2
"Q3 2024/2025","S08000015","","NHS Ayrshire & Arran","","East Ayrshire ADP","","Community-based service","","All","d","Number",199,6,4,0,0,0,0,0,0,209,0,0
"Q3 2024/2025","S08000015","","NHS Ayrshire & Arran","","East Ayrshire ADP","","Prison-based service","","All","d","Number",19,6,2,0,0,0,0,0,0,27,0,5
"Q4 2024/2025","S08000015","","NHS Ayrshire & Arran","","East Ayrshire ADP","","Community-based service","","All","d","Number",78,6,4,0,0,0,0,0,0,88,0,0
"Q4 2024/2025","S08000015","","NHS Ayrshire & Arran","","East Ayrshire ADP","","Prison-based service","","All","d","Number",14,7,3,3,1,0,0,0,0,24,4,7.5
"Q4 2023/2024","S08000015","","NHS Ayrshire & Arran","","East Ayrshire ADP","","Community-based service","","Co-dependency","","Number",26,0,0,0,0,0,0,0,0,26,0,0
"Q4 2023/2024","S08000015","","NHS Ayrshire & Arran","","East Ayrshire ADP","","Prison-based service","","Co-dependency","","Number",6,0,0,0,0,0,0,0,0,6,0,2
"Q1 2024/2025","S08000015","","NHS Ayrshire & Arran","","East Ayrshire ADP","","Community-based service","","Co-dependency","","Number",14,1,0,0,0,0,0,0,0,15,0,0
"Q1 2024/2025","S08000015","","NHS Ayrshire & Arran","","East Ayrshire ADP","","Prison-based service","","Co-dependency","","Number",8,0,0,0,0,0,0,0,0,8,0,1
"Q2 2024/2025","S08000015","","NHS Ayrshire & Arran","","East Ayrshire ADP","","Community-based service","","Co-dependency","","Number",26,0,0,0,0,0,0,0,0,26,0,0
"Q2 2024/2025","S08000015","","NHS Ayrshire & Arran","","East Ayrshire ADP","","Prison-based service","","Co-dependency","","Number",7,0,0,0,0,0,0,0,0,7,0,4
"Q3 2024/2025","S08000015","","NHS Ayrshire & Arran","","East Ayrshire ADP","","Community-based service","","Co-dependency","","Number",41,1,0,0,0,0,0,0,0,42,0,0
