"FinancialYear","HBR","HBRQF","NumberOfStays","EASRStays"
"1996/97","S92000003","d",2958,51.1322963646407
"1997/98","S92000003","d",3378,59.4760747705715
"1998/99","S92000003","d",4128,73.6675888810796
"1999/00","S92000003","d",4539,81.9081794098485
"2000/01","S92000003","d",4965,90.8779897840233
"2001/02","S92000003","d",5220,96.3573684034411
"2002/03","S92000003","d",5469,102.040245121026
"2003/04","S92000003","d",5064,95.6132662009056
"2004/05","S92000003","d",5112,96.6412552821294
"2005/06","S92000003","d",4974,94.0420598862756
"2006/07","S92000003","d",5505,103.962061620505
"2007/08","S92000003","d",6264,117.584375388916
"2008/09","S92000003","d",6639,124.725781602867
"2009/10","S92000003","d",6492,122.545721333108
"2010/11","S92000003","d",6960,131.09754497551
"2011/12","S92000003","d",7074,132.752540913733
"2012/13","S92000003","d",6477,122.350629401567
"2013/14","S92000003","d",7317,138.950380731635
"2014/15","S92000003","d",7881,149.75634711421
"2015/16","S92000003","d",8463,161.224871452413
"2016/17","S92000003","d",9531,182.429338870751
"2017/18","S92000003","d",10515,201.618048113413
"2018/19","S92000003","d",11535,222.602524724318
"2019/20","S92000003","d",12969,249.5496745242
"2020/21","S92000003","d",12486,241.163599516531
"2021/22","S92000003","d",10824,209.466980216511
"2022/23","S92000003","d",8001,154.101221219751
"2023/24","S92000003","d",9369,178.85652672103
"1996/97","S08000015","",207,51.827565737757
"1997/98","S08000015","",225,56.741724682485
"1998/99","S08000015","",345,90.9356930802506
"1999/00","S08000015","",354,95.6995816881956
"2000/01","S08000015","",447,121.141604156756
"2001/02","S08000015","",612,169.80654739298
"2002/03","S08000015","",627,178.917023744622
"2003/04","S08000015","",618,177.715338598411
"2004/05","S08000015","",690,196.115210119477
"2005/06","S08000015","",630,181.964311480524
"2006/07","S08000015","",708,205.205772323087
"2007/08","S08000015","",792,229.842761712041
"2008/09","S08000015","",780,226.191560824747
"2009/10","S08000015","",756,220.417331858
"2010/11","S08000015","",864,253.649136729913
"2011/12","S08000015","",897,265.775397140669
"2012/13","S08000015","",720,214.579227004286
"2013/14","S08000015","",774,233.470953995669
"2014/15","S08000015","",849,257.23551606862
"2015/16","S08000015","",882,272.629293056869
"2016/17","S08000015","",1137,353.025644702864
"2017/18","S08000015","",1125,349.897535811354
"2018/19","S08000015","",1251,392.43306302274
"2019/20","S08000015","",1239,391.69474226201
"2020/21","S08000015","",1053,335.16020977726
"2021/22","S08000015","",912,286.450431411881
"2022/23","S08000015","",618,194.222869938562
"2023/24","S08000015","",660,206.164046251799
"1996/97","S08000016","",24,21.7237186342271
"1997/98","S08000016","",36,37.076675410693
"1998/99","S08000016","",30,28.9173641772675
"1999/00","S08000016","",33,35.0983965694276
"2000/01","S08000016","",42,47.4577134537204
"2001/02","S08000016","",36,39.3485877135879
"2002/03","S08000016","",60,64.5026970773707
"2003/04","S08000016","",45,47.1634961089008
"2004/05","S08000016","",45,45.2589218694634
"2005/06","S08000016","",57,61.6685671605248
"2006/07","S08000016","",57,62.3046158701842
"2007/08","S08000016","",81,87.7756311920321
"2008/09","S08000016","",75,78.8620370245387
"2009/10","S08000016","",69,75.9324143313618
"2010/11","S08000016","",84,89.1946544682851
"2011/12","S08000016","",102,111.128611388248
"2012/13","S08000016","",81,87.5077869483043
"2013/14","S08000016","",90,98.8600545117847
"2014/15","S08000016","",81,85.5498819347778
"2015/16","S08000016","",87,95.6281739158101
"2016/17","S08000016","",90,92.3379837503541
"2017/18","S08000016","",114,121.876812824756
"2018/19","S08000016","",138,151.731690508158
"2019/20","S08000016","",153,167.383150615332
"2020/21","S08000016","",120,130.996619419925
"2021/22","S08000016","",78,80.8604758090981
