"Quarter","HB","HBQF","HBName","HBNameQF","ADPName","ADPNameQF","ServiceType","ServiceTypeQF","SubstanceType","SubstanceTypeQF","NumberOfReferrals","PercentageOfReferrals"
"Q4 2023/2024","S08000020","","NHS Grampian","","Aberdeen City ADP","","Community-based service","","Alcohol","",204,3.671
"Q1 2024/2025","S08000020","","NHS Grampian","","Aberdeen City ADP","","Community-based service","","Alcohol","",215,4.118
"Q2 2024/2025","S08000020","","NHS Grampian","","Aberdeen City ADP","","Community-based service","","Alcohol","",209,3.922
"Q3 2024/2025","S08000020","","NHS Grampian","","Aberdeen City ADP","","Community-based service","","Alcohol","",176,3.526
"Q4 2024/2025","S08000020","","NHS Grampian","","Aberdeen City ADP","","Community-based service","","Alcohol","",175,3.492
"Q4 2023/2024","S08000020","","NHS Grampian","","Aberdeen City ADP","","Community-based service","","All","d",389,3.56
"Q1 2024/2025","S08000020","","NHS Grampian","","Aberdeen City ADP","","Community-based service","","All","d",408,3.945
"Q2 2024/2025","S08000020","","NHS Grampian","","Aberdeen City ADP","","Community-based service","","All","d",417,3.935
"Q3 2024/2025","S08000020","","NHS Grampian","","Aberdeen City ADP","","Community-based service","","All","d",328,3.25
"Q4 2024/2025","S08000020","","NHS Grampian","","Aberdeen City ADP","","Community-based service","","All","d",381,3.723
"Q4 2023/2024","S08000020","","NHS Grampian","","Aberdeen City ADP","","Community-based service","","Co-dependency","",0,0
"Q1 2024/2025","S08000020","","NHS Grampian","","Aberdeen City ADP","","Community-based service","","Co-dependency","",10,0.698
"Q2 2024/2025","S08000020","","NHS Grampian","","Aberdeen City ADP","","Community-based service","","Co-dependency","",9,0.621
"Q3 2024/2025","S08000020","","NHS Grampian","","Aberdeen City ADP","","Community-based service","","Co-dependency","",2,0.146
"Q4 2024/2025","S08000020","","NHS Grampian","","Aberdeen City ADP","","Community-based service","","Co-dependency","",2,0.145
"Q4 2023/2024","S08000020","","NHS Grampian","","Aberdeen City ADP","","Community-based service","","Drug","",185,4.638
"Q1 2024/2025","S08000020","","NHS Grampian","","Aberdeen City ADP","","Community-based service","","Drug","",183,4.959
"Q2 2024/2025","S08000020","","NHS Grampian","","Aberdeen City ADP","","Community-based service","","Drug","",199,5.211
"Q3 2024/2025","S08000020","","NHS Grampian","","Aberdeen City ADP","","Community-based service","","Drug","",150,4.017
"Q4 2024/2025","S08000020","","NHS Grampian","","Aberdeen City ADP","","Community-based service","","Drug","",204,5.306
"Q4 2023/2024","S08000020","","NHS Grampian","","Aberdeenshire ADP","","Community-based service","","Alcohol","",191,3.437
"Q4 2023/2024","S08000020","","NHS Grampian","","Aberdeenshire ADP","","Prison-based service","","Alcohol","",4,7.407
"Q1 2024/2025","S08000020","","NHS Grampian","","Aberdeenshire ADP","","Community-based service","","Alcohol","",200,3.831
"Q1 2024/2025","S08000020","","NHS Grampian","","Aberdeenshire ADP","","Prison-based service","","Alcohol","",7,12.5
